EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,4,1,-3,-8,-12,-14,46,37,27,1022,1018,1015,16,16,16,27,11,50,0.00,0,,254
2015-1-2,6,4,2,-7,-8,-9,52,43,33,1031,1023,1016,16,16,16,24,11,40,0.00,1,,278
2015-1-3,6,3,1,4,-2,-9,92,68,44,1036,1030,1019,16,7,1,19,10,29,18.03,6,Rain-Snow,75
2015-1-4,13,9,5,10,6,-3,93,88,83,1019,1012,1004,16,9,1,47,10,74,7.62,7,Rain,274
2015-1-5,9,2,-6,-3,-12,-19,49,38,26,1030,1020,1009,16,16,16,39,17,61,0.00,2,,291
2015-1-6,-6,-6,-7,-10,-13,-19,77,57,36,1030,1024,1016,16,9,0,23,7,39,1.27,5,Snow,276
2015-1-7,-5,-9,-13,-12,-17,-25,73,49,25,1025,1017,1013,16,16,14,35,20,63,0.00,2,,292
2015-1-8,-6,-9,-13,-17,-20,-24,55,48,41,1030,1027,1023,16,16,16,29,14,50,0.00,0,,275
2015-1-9,1,-3,-7,-8,-12,-17,81,57,33,1023,1018,1015,16,10,0,34,14,48,1.78,4,Snow,259
2015-1-10,-5,-7,-9,-17,-18,-20,47,41,34,1035,1031,1024,16,16,16,29,13,40,0.00,0,,277
2015-1-11,3,-2,-8,-10,-14,-18,47,38,29,1039,1036,1032,16,16,16,23,10,39,0.00,2,,258
2015-1-12,4,3,2,2,-1,-11,92,64,35,1032,1024,1020,16,8,1,19,6,32,9.14,8,Rain,284
2015-1-13,2,-3,-8,-1,-11,-17,82,61,39,1038,1033,1024,16,16,16,29,14,40,0.00,3,,22
2015-1-14,0,-4,-9,-7,-11,-17,63,56,49,1035,1029,1022,16,16,16,23,10,27,0.00,5,,43
2015-1-15,2,-1,-4,-7,-9,-11,69,55,41,1022,1018,1013,16,16,14,24,8,32,0.00,3,,304
2015-1-16,6,0,-7,-7,-11,-18,58,45,31,1024,1014,1009,16,15,5,34,16,52,0.00,2,,282
2015-1-17,0,-4,-8,-7,-15,-18,53,41,29,1029,1027,1024,16,16,16,23,10,37,0.00,0,,271
2015-1-18,6,3,-1,4,1,-6,92,77,61,1023,1012,1006,16,6,0,16,6,32,53.34,7,Fog-Rain,35
2015-1-19,6,4,2,0,-4,-7,82,62,41,1012,1009,1006,16,16,14,26,12,53,0.00,7,,283
2015-1-20,4,2,0,-4,-8,-13,59,47,35,1017,1013,1011,16,16,16,21,9,32,0.00,4,,287
2015-1-21,2,-1,-4,-9,-13,-16,50,38,26,1022,1020,1018,16,16,14,16,7,24,0.00,4,,33
2015-1-22,4,2,-1,-5,-7,-11,69,56,43,1027,1023,1021,16,11,2,23,9,34,0.00,6,,318
2015-1-23,4,1,-2,-4,-8,-11,59,50,40,1027,1023,1015,16,15,13,23,9,31,0.00,1,,267
2015-1-24,4,2,1,0,-1,-6,89,71,52,1015,1001,991,16,6,1,23,10,39,18.29,7,Fog-Rain-Snow,358
2015-1-25,6,3,-1,-3,-8,-14,69,48,27,1015,1008,999,16,16,14,27,10,48,0.00,3,,281
2015-1-26,-1,-3,-6,-6,-9,-16,88,61,34,1016,1012,1005,16,5,0,37,21,55,12.19,8,Fog-Snow,53
2015-1-27,-1,-4,-7,-7,-9,-15,84,66,47,1011,1006,1004,16,7,0,27,13,48,9.14,6,Fog-Snow,354
2015-1-28,1,-4,-9,-13,-17,-19,61,45,28,1025,1018,1011,16,16,16,26,12,39,0.00,0,,309
2015-1-29,2,-2,-7,-3,-11,-17,69,52,35,1027,1022,1015,16,14,3,23,6,32,0.51,4,Snow,268
2015-1-30,3,-2,-7,-2,-6,-16,85,63,40,1016,1013,1010,16,10,1,35,17,58,1.52,6,Snow,288
2015-1-31,-3,-7,-11,-15,-18,-21,53,41,29,1023,1020,1017,16,16,16,39,20,71,0.00,0,,307
2015-2-1,2,-2,-7,-2,-7,-14,85,66,47,1023,1020,1015,16,11,1,19,6,27,0.76,6,Snow,193
2015-2-2,1,-4,-10,-1,-4,-15,92,80,67,1016,1002,995,14,5,0,35,16,52,25.91,8,Fog-Rain-Snow,44
2015-2-3,-3,-7,-11,-11,-13,-16,70,60,50,1026,1023,1015,16,15,13,27,12,43,0.00,0,,271
2015-2-4,6,1,-4,-2,-6,-12,63,56,49,1027,1021,1013,16,15,11,21,7,31,0.00,5,,241
2015-2-5,6,-2,-10,-3,-12,-21,69,50,31,1023,1016,1010,16,16,14,32,14,48,0.00,3,,308
2015-2-6,-3,-7,-11,-14,-18,-19,53,43,33,1025,1022,1019,16,16,16,27,12,42,0.00,1,,283
2015-2-7,4,1,-4,-3,-8,-13,75,61,46,1021,1019,1015,16,12,1,19,6,29,0.51,7,Snow,256
2015-2-8,3,1,-2,-1,-2,-5,89,74,59,1015,1013,1011,14,9,3,29,14,42,0.00,7,,69
2015-2-9,-2,-3,-4,-5,-7,-8,81,75,68,1016,1015,1014,16,15,8,32,18,47,2.29,8,,62
2015-2-10,4,1,-3,-6,-7,-8,69,59,48,1019,1017,1016,16,15,5,29,17,43,0.25,6,Snow,32
2015-2-11,1,-2,-6,-9,-12,-13,65,50,35,1019,1016,1013,16,16,16,29,10,42,0.00,0,,39
2015-2-12,4,-2,-9,-3,-7,-20,69,55,41,1013,1009,1006,16,12,2,35,12,63,T,7,Snow,281
2015-2-13,-6,-9,-13,-21,-22,-23,50,41,31,1022,1019,1014,16,16,16,35,15,60,0.00,0,,305
2015-2-14,0,-4,-9,-6,-9,-21,75,54,33,1020,1005,997,16,10,1,23,9,37,0.51,7,Snow,256
2015-2-15,-4,-9,-16,-7,-18,-25,81,58,34,1020,1007,997,16,14,4,37,24,68,T,4,Snow,307
2015-2-16,-6,-11,-16,-21,-24,-25,51,38,25,1023,1021,1019,16,16,16,34,11,58,0.00,1,,304
2015-2-17,-3,-6,-10,-11,-13,-21,80,57,34,1017,1013,1011,16,8,1,19,8,26,3.56,6,Snow,27
2015-2-18,1,-3,-7,-6,-10,-13,67,55,43,1013,1009,1006,16,13,2,24,7,34,T,3,Snow,280
2015-2-19,-3,-8,-13,-12,-19,-25,55,40,25,1016,1009,1006,16,16,16,32,18,50,0.00,3,,294
2015-2-20,-7,-12,-17,-21,-23,-27,44,39,33,1032,1024,1017,16,16,16,35,17,58,0.00,0,,282
2015-2-21,0,-5,-11,-2,-9,-22,85,59,33,1033,1027,1021,16,7,0,23,7,37,15.49,5,Fog-Rain-Snow,229
2015-2-22,6,3,0,-1,-2,-4,89,71,53,1023,1021,1020,16,8,2,19,5,27,2.54,5,Rain-Snow,272
2015-2-23,3,-5,-13,-4,-17,-24,64,45,25,1030,1026,1022,16,16,16,27,18,47,0.00,2,,314
2015-2-24,-4,-10,-16,-11,-19,-24,60,47,34,1029,1022,1010,16,16,16,23,9,37,0.00,1,,227
2015-2-25,3,-2,-7,-10,-12,-16,65,49,32,1015,1011,1007,16,16,16,24,10,39,0.00,0,,281
2015-2-26,0,-3,-6,-9,-13,-17,63,46,29,1021,1016,1013,16,15,5,24,11,32,0.00,5,,26
2015-2-27,-1,-4,-8,-14,-16,-19,54,41,28,1036,1029,1021,16,16,16,21,10,32,0.00,2,,319
2015-2-28,-2,-6,-11,-16,-19,-21,51,40,29,1044,1041,1037,16,16,16,19,6,29,0.00,0,,281
2015-3-1,-1,-2,-4,-5,-9,-18,84,56,28,1040,1031,1021,16,7,0,24,4,32,13.21,7,Fog-Snow,273
2015-3-2,4,1,-3,-4,-8,-13,78,55,32,1029,1021,1016,16,13,8,29,13,55,0.00,5,,302
2015-3-3,3,-1,-6,0,-7,-14,85,62,39,1031,1023,1010,16,9,0,23,8,39,17.02,5,Rain-Snow,190
2015-3-4,7,4,2,4,2,-1,92,81,70,1013,1011,1007,14,8,3,24,10,40,6.35,8,Rain,258
2015-3-5,4,-1,-7,2,-5,-16,100,75,49,1029,1020,1012,11,3,0,23,9,32,19.30,8,Fog-Rain-Snow,305
2015-3-6,-3,-7,-11,-13,-16,-19,61,48,34,1034,1031,1027,16,15,13,23,10,32,0.00,0,,295
2015-3-7,3,-2,-8,-7,-12,-16,56,47,38,1027,1022,1017,16,16,14,26,8,39,0.00,3,,259
2015-3-8,9,6,3,-2,-6,-8,57,44,31,1021,1018,1016,16,16,13,32,8,48,0.00,4,,276
2015-3-9,12,8,4,-1,-4,-7,53,41,28,1024,1021,1020,16,16,14,26,8,40,0.25,2,Rain,272
2015-3-10,12,8,4,6,2,-4,92,67,42,1026,1022,1015,16,9,1,19,6,27,11.68,5,Rain,65
2015-3-11,15,11,7,7,4,-8,93,61,29,1019,1015,1013,16,11,2,23,11,35,0.25,4,Rain,287
2015-3-12,8,6,2,-6,-14,-21,43,27,11,1036,1029,1020,16,16,16,32,13,53,0.00,0,,318
2015-3-13,6,3,-1,-3,-13,-19,59,38,17,1038,1034,1028,16,16,16,21,10,31,0.00,0,,125
2015-3-14,11,8,4,9,5,-3,93,73,53,1027,1016,1006,16,9,2,24,9,35,20.57,8,Rain,214
2015-3-15,7,4,2,5,-2,-6,89,67,45,1015,1009,1006,16,16,13,37,18,66,0.00,7,,295
2015-3-16,11,7,2,-1,-4,-6,59,49,38,1017,1013,1009,16,16,16,21,6,32,0.00,1,,277
2015-3-17,14,8,1,6,-3,-14,71,49,27,1013,1005,1001,16,15,11,39,16,69,0.51,5,Rain,295
2015-3-18,4,1,-2,-11,-13,-14,43,35,27,1022,1017,1014,16,16,16,32,15,56,0.00,3,,316
2015-3-19,6,2,-2,-12,-16,-18,46,32,17,1027,1025,1023,16,16,16,23,9,35,0.00,1,,302
2015-3-20,3,1,-2,-2,-7,-17,92,58,23,1028,1024,1020,16,7,0,27,13,35,10.16,6,Fog-Snow,67
2015-3-21,8,3,-2,2,-2,-4,92,75,58,1021,1017,1012,16,8,3,26,9,43,T,7,,308
2015-3-22,6,2,-2,-2,-11,-16,57,41,25,1022,1017,1013,16,16,16,29,12,48,0.00,0,,308
2015-3-23,3,-1,-5,-14,-16,-19,50,35,19,1024,1023,1022,16,16,16,26,11,43,0.00,0,,306
2015-3-24,7,2,-3,-8,-13,-16,42,33,24,1029,1027,1025,16,16,16,21,6,27,0.00,2,,43
2015-3-25,9,6,1,4,-3,-11,89,57,25,1030,1027,1021,16,14,5,21,7,35,1.27,4,Rain,152
2015-3-26,17,11,6,14,8,3,93,88,82,1021,1010,1002,16,7,2,23,5,37,8.13,8,Rain,142
2015-3-27,8,6,4,5,1,-4,89,69,49,1009,1007,1005,16,15,8,19,7,29,6.86,8,Rain,340
2015-3-28,4,1,-3,-4,-7,-10,68,56,44,1020,1011,1008,16,15,3,24,12,37,T,8,Snow,339
2015-3-29,8,2,-4,-8,-14,-18,63,40,16,1025,1022,1020,16,16,13,23,10,35,0.00,3,,287
2015-3-30,12,7,2,0,-5,-12,70,50,30,1020,1012,1008,16,14,4,39,13,71,T,5,Snow,265
2015-3-31,8,5,2,2,-1,-6,92,65,37,1012,1010,1008,16,14,6,21,9,32,4.32,6,Rain,344
2015-4-1,11,6,0,-1,-8,-13,82,52,22,1023,1017,1010,16,16,16,24,8,37,0.00,0,,295
2015-4-2,19,12,5,1,-4,-13,41,32,22,1025,1020,1013,16,16,16,32,10,50,0.00,0,,232
2015-4-3,18,17,15,13,10,2,84,62,39,1012,1008,1003,16,13,6,26,11,40,1.02,6,Rain,238
2015-4-4,16,11,6,13,1,-10,87,56,24,1021,1008,998,16,14,8,39,16,66,0.25,4,Rain,294
2015-4-5,16,11,6,1,-4,-9,60,43,25,1025,1021,1019,16,16,16,29,8,48,0.00,3,,280
2015-4-6,17,12,6,6,2,1,76,56,36,1027,1024,1020,16,16,14,19,7,29,0.00,0,,81
2015-4-7,17,11,6,8,5,4,89,66,43,1027,1024,1020,16,13,4,27,11,40,3.81,8,Rain,70
2015-4-8,7,5,3,4,0,-4,86,66,45,1029,1026,1024,16,15,8,35,18,52,0.00,8,,70
2015-4-9,6,4,3,3,2,0,92,81,70,1028,1026,1023,16,14,5,29,14,40,0.00,8,,75
2015-4-10,13,9,4,10,6,3,96,90,83,1023,1014,1008,16,7,3,23,7,35,4.32,7,Rain,340
2015-4-11,14,11,7,7,-1,-4,66,48,30,1023,1015,1010,16,16,16,27,14,45,0.00,0,,294
2015-4-12,19,13,6,3,-2,-5,59,39,19,1027,1025,1024,16,16,16,21,5,34,0.00,0,,288
2015-4-13,20,15,10,7,3,-1,55,43,30,1028,1025,1021,16,16,16,24,7,39,0.00,0,,204
2015-4-14,18,16,13,11,5,-3,75,50,24,1022,1020,1018,16,16,16,21,6,35,0.25,5,,307
2015-4-15,22,17,11,1,-6,-10,41,27,12,1028,1022,1020,16,16,16,34,10,56,0.00,0,,5
2015-4-16,18,14,11,6,-4,-8,61,39,17,1032,1029,1025,16,16,16,26,10,34,0.00,0,,108
2015-4-17,22,17,13,12,11,6,83,68,53,1024,1017,1012,16,15,8,24,8,40,2.03,6,Rain,245
2015-4-18,27,21,15,8,4,-4,56,38,20,1017,1014,1011,16,16,16,24,7,40,0.00,0,,301
2015-4-19,18,13,9,2,-2,-7,61,41,21,1025,1023,1019,16,16,16,24,14,35,0.00,0,,94
2015-4-20,14,11,8,13,10,3,100,83,66,1021,1008,1002,16,5,1,26,12,43,34.80,8,Fog-Rain,83
2015-4-21,18,15,11,12,7,-4,100,63,25,1008,1004,1001,16,10,3,26,10,39,5.08,5,Rain,275
2015-4-22,21,15,9,8,2,-2,67,49,31,1009,1005,1000,16,15,6,32,10,53,1.27,3,Rain,226
2015-4-23,11,8,5,0,-4,-8,62,47,32,1010,1007,1005,16,16,16,34,15,53,0.00,3,,290
2015-4-24,11,8,4,-7,-8,-9,44,35,26,1013,1011,1010,16,16,16,27,14,53,0.00,5,,323
2015-4-25,17,10,3,1,-5,-7,52,36,20,1013,1009,1005,16,16,16,23,9,35,0.00,0,,309
2015-4-26,18,13,8,-2,-3,-4,46,36,25,1006,1005,1004,16,16,16,21,8,34,0.00,3,,40
2015-4-27,17,13,9,1,-1,-2,50,40,29,1007,1005,1003,16,16,16,26,9,45,0.00,7,,309
2015-4-28,22,16,10,3,2,-1,61,43,24,1009,1007,1006,16,16,16,27,13,42,0.00,2,,15
2015-4-29,26,18,10,6,3,0,68,44,20,1008,1006,1003,16,16,16,27,9,37,0.00,1,,330
2015-4-30,19,14,9,5,3,2,71,53,34,1013,1009,1007,16,16,16,24,13,34,0.00,3,,84
2015-5-1,17,13,9,4,4,3,71,59,46,1015,1014,1013,16,16,16,23,8,29,0.00,6,,98
2015-5-2,23,16,9,6,4,2,80,56,31,1017,1015,1014,16,16,4,24,5,35,0.00,2,,172
2015-5-3,27,19,11,7,3,1,59,41,22,1021,1019,1017,16,16,16,16,4,29,0.00,0,,226
2015-5-4,29,22,14,9,7,4,72,47,22,1023,1021,1020,16,15,11,24,9,37,0.00,0,,169
2015-5-5,29,24,19,12,10,7,53,44,34,1023,1022,1021,16,16,16,21,6,34,0.00,2,,255
2015-5-6,23,19,15,11,5,2,53,41,28,1026,1024,1022,16,16,16,23,8,37,T,5,,61
2015-5-7,27,20,13,11,7,4,80,54,27,1024,1022,1020,16,16,11,16,4,27,0.00,0,,205
2015-5-8,28,21,13,13,11,7,86,62,38,1023,1021,1020,16,10,3,21,5,34,0.00,0,,78
2015-5-9,21,18,14,14,13,11,90,77,63,1028,1025,1023,14,9,5,14,7,21,0.00,8,,84
2015-5-10,28,22,16,18,16,14,90,71,51,1025,1023,1020,16,12,4,21,6,37,0.00,5,,253
2015-5-11,29,25,21,19,18,17,84,70,55,1021,1019,1014,16,13,10,21,6,40,T,5,Rain,219
2015-5-12,30,24,18,18,15,6,87,58,28,1015,1011,1007,16,14,6,24,9,45,0.00,3,,270
2015-5-13,21,17,12,6,3,1,51,43,35,1025,1019,1013,16,16,16,24,12,42,0.00,4,,305
2015-5-14,23,17,10,3,1,-4,56,37,17,1030,1027,1025,16,16,16,21,6,32,0.00,0,,358
2015-5-15,24,18,13,6,4,2,59,45,31,1027,1025,1023,16,16,14,21,5,35,0.00,1,,213
2015-5-16,24,19,14,18,14,5,87,67,46,1024,1022,1019,16,11,3,16,3,26,7.62,6,Rain,247
2015-5-17,28,23,18,19,18,17,93,72,51,1022,1021,1018,16,8,2,11,3,18,0.51,4,Rain,48
2015-5-18,24,20,16,18,14,11,90,77,63,1024,1021,1019,16,10,3,23,7,29,0.00,7,,74
2015-5-19,27,21,15,18,14,12,87,72,57,1019,1013,1008,16,8,2,23,4,42,T,6,Rain,76
2015-5-20,19,16,12,9,3,1,57,47,36,1016,1013,1011,16,16,16,23,11,43,0.00,2,,304
2015-5-21,17,14,11,8,3,1,72,54,36,1017,1014,1012,16,16,16,19,4,26,0.00,6,,270
2015-5-22,23,18,13,8,4,-1,72,51,29,1021,1014,1011,16,16,16,29,10,47,0.00,4,,293
2015-5-23,21,16,9,5,-2,-6,55,38,20,1030,1027,1022,16,16,16,24,7,40,0.00,0,,285
2015-5-24,27,21,13,10,6,2,55,38,21,1028,1026,1024,16,16,16,16,6,29,0.00,0,,251
2015-5-25,29,24,18,14,13,10,67,52,37,1025,1023,1021,16,16,16,21,8,34,0.00,0,,238
2015-5-26,31,26,19,16,14,11,68,54,40,1023,1022,1020,16,16,16,19,8,32,0.00,0,,238
2015-5-27,29,26,21,20,18,16,84,70,55,1023,1021,1018,16,14,10,24,8,37,2.03,4,Rain,231
2015-5-28,29,26,21,20,18,12,90,62,34,1024,1021,1019,16,13,6,19,7,32,0.00,3,,240
2015-5-29,29,24,18,16,13,11,76,57,37,1026,1025,1023,16,16,14,19,7,27,0.00,0,,41
2015-5-30,29,24,19,18,17,16,84,68,51,1024,1021,1017,16,16,14,23,9,40,0.00,1,,202
2015-5-31,31,22,14,22,18,13,97,74,51,1020,1018,1016,16,10,0,32,9,45,37.08,6,Fog-Rain,96
2015-6-1,14,13,11,13,12,9,93,90,86,1021,1020,1019,16,7,2,26,17,47,18.29,8,Rain,68
2015-6-2,13,12,10,11,9,8,93,88,83,1023,1021,1019,16,10,2,23,10,31,9.40,8,Rain,62
2015-6-3,21,16,11,11,9,7,93,67,40,1025,1023,1022,16,16,8,16,7,26,0.00,5,,71
2015-6-4,18,16,12,10,9,8,77,69,60,1026,1024,1023,16,16,16,19,8,26,0.00,4,,80
2015-6-5,21,17,13,15,12,8,93,80,66,1023,1019,1013,16,10,1,14,5,23,3.30,7,Rain,81
2015-6-6,24,20,16,17,12,-1,97,60,22,1019,1013,1011,16,10,1,14,7,35,4.83,5,Rain,328
2015-6-7,23,18,13,9,6,-1,55,44,32,1023,1021,1019,16,16,16,19,6,37,0.00,0,,109
2015-6-8,26,22,17,18,14,10,72,63,54,1020,1013,1008,16,16,11,24,10,43,1.52,4,Rain,197
2015-6-9,28,24,20,20,17,12,90,65,39,1009,1006,1003,16,14,11,24,8,40,0.25,5,Rain,258
2015-6-10,28,23,18,14,13,12,68,53,37,1012,1011,1009,16,16,14,21,5,31,0.00,0,,259
2015-6-11,32,27,22,19,18,14,68,58,47,1013,1012,1011,16,11,10,23,7,31,0.00,1,,255
2015-6-12,31,27,23,22,18,13,65,54,43,1015,1013,1010,16,14,8,21,7,37,0.00,0,,114
2015-6-13,30,26,22,21,15,8,65,48,30,1016,1013,1009,16,16,16,23,9,35,0.00,2,,357
2015-6-14,31,25,19,18,15,13,93,64,34,1019,1017,1016,16,14,4,16,4,29,9.14,2,Rain,140
2015-6-15,28,23,18,22,19,16,97,83,69,1018,1015,1013,16,5,1,27,7,40,14.48,8,Rain,82
2015-6-16,26,22,18,22,19,16,87,74,60,1015,1012,1009,16,8,1,13,4,21,6.86,6,Rain,242
2015-6-17,28,23,19,16,14,13,78,60,42,1022,1019,1014,16,15,3,19,6,27,T,2,Rain,15
2015-6-18,22,20,18,16,14,12,81,74,66,1021,1018,1014,16,16,13,13,6,24,0.00,7,,177
2015-6-19,31,26,20,19,17,14,84,66,47,1016,1013,1012,16,15,11,16,6,26,0.00,5,,341
2015-6-20,24,21,18,19,15,10,90,70,49,1020,1017,1013,16,11,4,24,9,35,T,7,Rain,80
2015-6-21,31,27,22,22,21,19,93,72,50,1011,1008,1006,16,8,1,26,7,45,16.26,7,Rain,269
2015-6-22,31,26,21,21,16,13,87,62,37,1015,1014,1010,16,16,14,21,8,31,0.00,0,,273
2015-6-23,32,28,24,23,20,15,79,66,52,1014,1011,1007,16,14,13,26,9,43,0.51,1,,243
2015-6-24,29,24,20,16,12,9,63,50,36,1017,1015,1012,16,16,16,21,7,31,0.00,0,,315
2015-6-25,28,23,18,16,11,8,64,49,33,1019,1016,1015,16,16,16,21,5,35,0.00,1,,273
2015-6-26,27,24,21,16,14,12,73,58,42,1019,1015,1013,16,16,16,26,7,34,0.00,4,,79
2015-6-27,22,18,14,16,13,9,97,72,47,1020,1016,1011,16,10,3,26,12,39,28.45,7,Rain,84
