AEDT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2016-5-28,15,12,9,11,6,1,94,64,36,1012,1008,1005,31,14,9,27,18,,4.06,5,Rain,290
2016-5-29,19,13,7,9,3,0,71,50,18,1021,1016,1012,31,31,31,27,19,32,0.25,,,262
2016-5-30,17,12,7,8,4,1,67,53,26,1028,1024,1021,31,16,10,32,19,39,0.00,1,,263
2016-5-31,16,12,8,14,11,5,94,85,63,1029,1028,1027,31,11,5,27,13,,4.06,6,Rain,322
2016-6-1,16,14,12,13,12,11,100,85,69,1029,1027,1026,31,12,10,19,13,,0.00,6,Rain,257
2016-6-2,18,14,11,13,11,9,94,76,55,1027,1025,1024,26,12,10,24,13,,0.00,4,Rain,238
2016-6-3,18,15,12,15,12,9,100,82,61,1026,1023,1019,26,11,3,32,14,,30.99,6,Rain,223
2016-6-4,21,18,15,17,16,13,100,86,64,1019,1013,1008,11,7,1,76,24,98,23.88,6,Rain,30
2016-6-5,20,17,14,18,17,13,100,93,83,1009,1000,992,10,5,1,61,40,84,44.96,6,Rain-Thunderstorm,69
2016-6-6,18,15,12,12,7,3,82,54,29,1002,998,992,31,15,10,40,29,55,0.25,6,Rain,288
2016-6-7,19,14,11,9,6,3,71,52,31,1007,1003,1002,31,16,10,26,16,,0.00,5,Rain,316
2016-6-8,21,16,11,8,6,4,82,50,24,1012,1009,1007,31,18,10,27,18,,0.00,1,,323
2016-6-9,23,19,15,11,7,2,72,47,15,1011,1007,1005,31,14,10,42,24,58,0.00,5,Rain,330
2016-6-10,22,17,12,9,7,6,77,53,26,1021,1016,1011,31,20,10,32,13,,0.00,1,,286
2016-6-11,20,16,11,7,3,0,72,42,21,1029,1023,1020,31,28,26,35,24,53,0.00,,,272
2016-6-12,17,12,7,8,4,1,76,53,23,1037,1035,1030,31,16,10,34,19,35,0.00,1,,253
2016-6-13,19,13,7,10,6,1,82,57,33,1039,1036,1035,31,14,10,21,14,,0.00,4,Rain,343
2016-6-14,22,16,9,10,7,5,94,60,25,1036,1034,1031,31,27,18,19,13,,0.00,,,304
2016-6-15,20,14,9,9,7,4,77,59,31,1033,1031,1028,31,13,10,16,13,,0.00,3,,349
2016-6-16,22,16,9,10,8,6,87,60,27,1028,1022,1018,31,15,10,24,13,,0.00,3,,338
2016-6-17,20,16,11,12,9,7,77,59,39,1019,1016,1014,31,15,10,27,14,,0.00,6,Rain,351
2016-6-18,20,17,14,16,14,12,94,81,59,1020,1016,1014,26,12,5,27,13,,0.25,6,Rain,262
2016-6-19,20,17,14,18,15,12,100,87,75,1020,1012,1002,26,9,1,45,19,63,18.03,6,Rain,186
2016-6-20,21,18,15,16,10,4,94,64,30,1002,997,993,31,13,10,42,21,,0.25,6,Rain,325
2016-6-21,19,17,14,7,3,1,59,39,20,1004,1002,997,31,27,26,40,31,58,0.00,,,319
2016-6-22,21,17,12,8,3,0,59,41,19,1012,1005,1001,31,17,10,39,21,52,0.00,2,,311
2016-6-23,19,14,9,7,4,2,63,46,21,1012,1009,1004,31,22,10,29,16,,0.00,6,,340
2016-6-24,17,13,9,8,2,-5,72,44,14,1011,1005,1001,31,18,10,63,27,76,0.00,4,Rain,301
2016-6-25,14,10,7,1,-2,-3,57,42,26,1021,1017,1011,31,31,31,35,29,50,0.00,,,249
2016-6-26,16,10,5,4,1,-1,66,48,24,1021,1018,1015,31,20,10,32,19,,0.00,6,,302
2016-6-27,11,10,9,8,5,2,87,67,50,1017,1015,1013,26,11,2,35,18,48,2.03,7,Rain,279
2016-6-28,15,12,8,6,2,0,59,49,31,1027,1022,1017,31,16,10,39,31,55,0.00,1,,246
2016-6-29,18,12,7,7,4,2,76,55,26,1028,1026,1024,31,19,10,29,16,,0.00,1,,318
2016-6-30,17,11,6,5,1,-6,87,48,12,1024,1018,1013,31,27,19,32,14,,0.00,,,328
2016-7-1,16,12,9,4,2,-1,66,46,24,1022,1016,1012,31,17,10,37,26,55,0.00,3,,278
2016-7-2,18,13,8,4,3,2,71,49,24,1026,1024,1022,31,17,10,32,21,,0.00,1,,275
2016-7-3,18,12,6,6,3,1,81,55,24,1027,1024,1022,31,23,10,19,14,,0.00,1,,315
2016-7-4,16,11,6,6,4,2,81,62,31,1023,1019,1015,31,27,19,19,13,,0.00,,,311
2016-7-5,19,13,8,11,7,3,94,66,36,1015,1009,1005,26,12,7,32,14,,0.25,4,Rain,322
2016-7-6,18,14,10,13,5,2,100,56,29,1008,1005,1002,26,12,3,45,29,63,28.96,6,Rain,285
2016-7-7,17,14,13,14,13,11,94,87,65,1020,1015,1008,19,9,3,52,35,69,9.91,6,Rain,207
2016-7-8,16,13,12,13,12,11,100,92,78,1021,1019,1017,26,9,1,27,18,,19.05,6,Rain,222
2016-7-9,16,12,8,12,10,8,94,83,56,1024,1022,1020,31,13,9,27,13,,1.02,4,Rain,247
2016-7-10,18,14,11,13,11,9,100,78,43,1025,1022,1018,31,12,6,23,13,,0.00,4,Rain,342
2016-7-11,20,17,13,12,9,7,88,62,32,1018,1012,1009,31,14,10,42,19,61,0.00,6,Rain,346
2016-7-12,21,16,11,11,2,-11,94,42,5,1012,1009,1006,31,24,10,48,21,64,0.00,5,,306
2016-7-13,14,11,8,4,-4,-9,62,33,11,1027,1019,1012,31,28,10,55,34,74,0.00,,,279
2016-7-14,17,11,6,0,-2,-4,66,40,14,1029,1027,1025,31,31,31,32,23,,0.00,,,277
2016-7-15,16,11,6,8,2,-1,72,49,27,1031,1029,1027,31,28,26,26,16,,0.00,,,298
2016-7-16,17,12,7,13,8,3,88,70,43,1033,1031,1030,31,13,10,21,13,,0.00,5,,255
2016-7-17,20,16,12,14,13,11,94,80,51,1031,1029,1026,31,12,5,16,11,,0.00,5,Rain,334
2016-7-18,25,17,9,13,11,9,100,68,28,1026,1022,1019,31,10,0,29,16,,0.00,3,Fog,308
2016-7-19,25,19,14,16,13,11,94,67,34,1022,1020,1018,31,23,10,14,10,,3.05,6,Rain,325
2016-7-20,18,17,15,17,16,13,100,94,78,1021,1019,1017,26,10,5,34,16,53,6.10,6,Rain,216
2016-7-21,17,16,14,15,14,13,100,89,78,1020,1017,1014,26,10,4,34,19,,0.76,5,Rain,226
2016-7-22,27,19,12,16,12,11,100,63,30,1014,1004,996,31,16,6,39,19,58,4.06,4,Rain,338
2016-7-23,18,14,11,16,1,-5,95,38,13,1013,1004,997,31,19,3,50,31,69,0.00,6,Rain,272
2016-7-24,15,11,7,1,-2,-4,58,39,18,1016,1013,1011,31,29,26,29,24,,0.00,,,308
2016-7-25,19,13,7,4,1,-3,76,41,13,1013,1012,1010,31,17,10,35,23,52,0.00,1,,312
2016-7-26,18,13,9,6,2,0,58,42,20,1015,1013,1011,31,21,10,34,14,,0.00,1,,2
2016-7-27,19,14,11,4,2,0,58,40,18,1020,1014,1011,31,31,31,39,23,53,0.00,,,297
2016-7-28,20,14,8,4,2,0,71,45,17,1024,1022,1020,31,31,31,42,23,,0.00,,,280
2016-7-29,19,13,7,3,2,-2,66,46,15,1023,1021,1017,31,31,31,32,19,,0.00,,,287
2016-7-30,17,12,8,9,6,3,77,59,34,1023,1021,1019,31,13,10,21,14,34,0.00,1,,301
2016-7-31,21,16,11,10,7,3,88,58,22,1019,1017,1015,31,27,26,19,11,,0.00,,,304
2016-8-1,19,14,9,12,8,6,88,66,37,1018,1015,1012,26,15,10,16,11,,0.51,8,Rain,297
2016-8-2,15,13,11,12,10,7,94,81,57,1017,1014,1010,31,11,5,42,21,61,14.99,7,Rain,225
2016-8-3,15,12,10,12,10,5,96,80,41,1021,1018,1015,19,9,1,55,39,72,23.88,6,Rain,185
2016-8-4,16,13,11,11,7,1,94,65,26,1028,1024,1020,31,11,5,50,37,71,2.03,5,Rain,173
2016-8-5,15,12,10,12,10,3,95,87,36,1031,1029,1028,31,10,4,35,23,,2.03,6,Rain,228
2016-8-6,16,12,9,11,9,8,94,77,53,1029,1027,1026,26,11,10,24,13,,0.25,6,Rain,260
2016-8-7,16,13,10,10,8,7,88,72,50,1027,1026,1024,26,12,10,27,11,,0.00,6,,287
2016-8-8,18,13,8,9,7,6,94,66,35,1026,1024,1022,31,13,10,16,13,,0.00,1,,324
2016-8-9,20,14,8,9,7,6,87,61,31,1023,1020,1016,31,27,19,24,13,,0.00,8,,353
2016-8-10,26,20,14,8,7,6,59,40,18,1016,1013,1010,31,29,26,29,21,,0.00,8,,345
2016-8-11,20,16,10,9,2,-1,67,37,15,1022,1017,1013,31,28,26,39,19,55,0.00,,,257
2016-8-12,19,13,7,6,1,-5,66,40,11,1024,1021,1019,31,29,26,32,21,,0.00,,,308
2016-8-13,20,14,8,3,2,0,66,41,18,1023,1021,1019,31,14,10,32,19,47,0.00,1,,280
2016-8-14,18,13,9,9,6,3,77,53,31,1030,1026,1022,31,12,10,24,14,40,0.00,1,,240
2016-8-15,21,14,9,11,8,6,82,60,33,1033,1030,1029,31,14,10,26,13,,0.00,1,,356
2016-8-16,21,16,9,13,10,7,94,66,33,1031,1028,1025,31,18,2,26,13,,0.00,1,,357
2016-8-17,24,17,11,13,7,4,88,53,17,1026,1024,1021,26,25,23,21,13,,0.00,,,326
2016-8-18,23,17,11,13,8,4,77,53,18,1024,1022,1020,31,28,19,27,13,,0.00,,,347
2016-8-19,24,17,11,9,6,2,82,46,14,1021,1016,1010,31,28,10,47,18,50,0.25,6,,336
2016-8-20,18,14,10,9,3,-1,82,52,22,1018,1014,1011,31,21,10,52,26,71,0.00,4,Rain,283
2016-8-21,20,14,8,8,2,0,72,43,18,1020,1018,1016,31,23,10,27,16,35,0.00,1,,296
2016-8-22,16,12,9,9,6,4,94,67,37,1017,1015,1012,31,14,10,37,13,55,1.02,6,Rain,303
2016-8-23,16,12,8,12,8,6,94,73,43,1017,1014,1011,31,13,6,32,19,47,2.03,5,Rain,238
2016-8-24,14,12,9,13,11,9,100,89,64,1016,1010,1005,14,7,1,47,26,61,23.11,6,Rain,158
2016-8-25,16,12,9,9,6,1,94,64,31,1015,1010,1007,31,13,10,34,24,40,0.25,5,Rain,243
2016-8-26,15,11,7,10,5,2,88,63,41,1022,1018,1015,31,12,10,37,24,50,2.03,4,Rain-Thunderstorm,221
2016-8-27,20,13,7,10,4,-3,94,53,12,1023,1021,1019,31,14,10,23,13,,0.25,3,Rain,314
2016-8-28,19,13,8,6,3,0,66,46,18,1024,1022,1020,31,29,26,24,14,,0.00,,,287
2016-8-29,20,14,8,10,5,0,76,52,20,1027,1025,1023,31,21,10,16,13,,0.00,6,,329
2016-8-30,21,16,11,15,10,7,78,64,40,1027,1024,1021,31,18,10,32,13,,0.00,6,,359
2016-8-31,24,19,15,14,12,10,88,62,30,1022,1017,1013,31,16,10,42,18,60,0.00,6,,353
2016-9-1,23,17,12,15,9,4,83,59,20,1020,1017,1014,31,17,10,26,13,,4.06,2,Rain,336
2016-9-2,18,16,14,16,15,13,100,93,80,1014,1008,999,26,9,3,27,13,,19.05,6,Rain,167
2016-9-3,21,17,13,16,7,3,94,51,25,1015,1002,995,31,17,10,58,29,74,0.25,5,Rain,302
2016-9-4,18,13,9,7,4,1,71,47,21,1027,1021,1015,31,27,10,27,13,,0.00,1,,255
2016-9-5,21,14,9,11,7,2,82,54,25,1030,1028,1027,31,31,31,24,14,,0.00,,,331
2016-9-6,22,16,10,14,11,7,94,67,30,1030,1028,1026,31,27,18,26,13,,0.00,,,5
2016-9-7,21,18,14,16,14,9,100,78,41,1032,1030,1028,31,12,10,26,16,,0.00,3,,142
2016-9-8,22,19,15,15,13,11,88,67,44,1030,1026,1023,26,12,10,39,16,,0.00,5,,18
2016-9-9,25,20,15,15,13,8,77,61,25,1023,1018,1013,26,19,10,40,19,55,0.00,,,23
2016-9-10,22,18,14,16,8,2,94,53,15,1016,1012,1010,26,12,4,47,34,66,0.00,5,Rain,318
2016-9-11,19,16,12,12,8,5,82,58,35,1021,1018,1016,31,18,10,21,14,,0.00,3,,240
2016-9-12,21,17,12,13,9,4,88,60,28,1022,1020,1018,31,13,10,24,11,,0.00,4,,235
2016-9-13,19,18,16,15,14,12,88,78,63,1022,1019,1017,31,14,10,27,19,,1.02,6,Rain,184
2016-9-14,25,21,16,16,14,11,100,70,34,1017,1011,1007,31,12,7,29,13,,0.25,6,Rain,352
2016-9-15,22,18,14,15,3,-3,88,37,11,1014,1009,1007,31,31,31,47,26,64,0.00,,,297
2016-9-16,22,18,14,10,5,1,72,42,17,1021,1016,1013,31,16,10,32,21,50,0.00,5,Rain,272
2016-9-17,22,17,11,9,7,5,67,47,24,1023,1020,1017,31,30,26,32,14,,0.00,,,1
2016-9-18,17,14,13,14,11,7,100,77,46,1017,1009,1001,31,11,4,21,11,,8.89,6,Rain,292
2016-9-19,21,17,13,13,8,3,100,57,21,1015,1009,1002,26,11,10,45,21,58,0.00,4,,256
2016-9-20,21,15,9,9,5,1,71,47,17,1019,1016,1015,31,29,26,26,16,,0.00,,,332
2016-9-21,22,18,14,15,11,7,88,64,30,1016,1010,1006,31,14,10,27,13,,0.51,7,Rain,346
2016-9-22,19,16,13,12,9,8,88,62,41,1009,1007,1005,31,13,10,39,19,50,1.02,5,Rain,271
2016-9-23,19,17,14,13,9,7,77,59,42,1012,1011,1008,31,13,10,48,29,66,0.25,5,,222
2016-9-24,21,17,12,15,12,9,82,67,44,1013,1010,1007,31,14,10,21,16,,0.00,2,,349
2016-9-25,21,17,14,15,12,9,94,71,38,1011,1007,1004,26,11,5,32,14,,6.10,5,Rain-Thunderstorm,247
2016-9-26,19,16,12,12,6,2,88,53,24,1013,1011,1009,31,14,10,32,21,37,0.00,2,,223
2016-9-27,23,17,11,4,1,-6,62,34,8,1013,1010,1005,31,16,10,48,24,64,0.00,2,,279
2016-9-28,20,14,9,8,5,2,62,45,27,1014,1012,1008,31,15,10,32,19,,0.00,2,,256
2016-9-29,23,18,13,13,7,-3,88,52,10,1008,999,993,31,14,9,40,19,55,0.51,4,Rain,342
2016-9-30,19,16,13,4,2,0,51,36,21,1002,999,997,31,29,26,47,29,63,0.00,,,339
2016-10-1,22,17,12,6,3,2,63,36,17,1011,1005,1001,31,29,26,53,26,76,0.00,,,312
2016-10-2,26,19,12,13,7,2,67,42,14,1013,1009,1005,31,31,31,32,14,,0.00,,,355
2016-10-3,26,21,17,11,2,-13,46,27,4,1006,1001,997,31,15,10,61,29,80,0.00,6,Rain,329
2016-10-4,24,18,12,6,1,-2,55,29,10,1009,1005,1002,31,16,10,61,27,76,0.00,3,,297
2016-10-5,23,17,11,6,-2,-11,59,27,4,1017,1014,1008,31,30,26,42,31,71,0.00,,,274
2016-10-6,28,21,13,8,2,-4,46,27,7,1021,1018,1016,31,28,19,39,16,45,0.00,8,,288
2016-10-7,31,23,16,9,5,0,59,30,8,1021,1018,1014,31,28,26,32,16,48,0.00,,,301
2016-10-8,24,20,16,15,9,4,78,53,18,1023,1017,1013,31,12,10,47,26,64,0.00,6,,207
2016-10-9,22,18,13,12,8,5,67,47,24,1023,1020,1013,31,18,10,47,24,63,0.00,5,,8
2016-10-10,34,26,17,15,8,2,64,36,12,1013,1007,1004,31,31,31,48,26,76,4.06,8,,305
2016-10-11,19,16,13,8,1,-4,72,35,12,1017,1013,1010,31,19,10,40,29,60,0.25,6,Rain,246
2016-10-12,22,16,9,7,2,-3,58,38,12,1017,1015,1012,31,19,10,24,16,,6.10,1,,270
2016-10-13,16,14,12,13,8,3,94,62,34,1025,1021,1016,31,12,3,45,34,61,0.25,4,Rain,198
2016-10-14,20,14,8,8,5,2,71,49,23,1026,1024,1022,31,14,10,24,16,,0.25,1,,6
2016-10-15,26,18,11,8,6,-3,82,44,7,1024,1019,1015,31,31,31,39,18,58,0.00,,,356
2016-10-16,28,22,16,14,7,2,60,36,11,1016,1011,1006,31,23,11,50,23,50,0.00,,,14
2016-10-17,24,19,14,12,8,4,82,47,17,1013,1007,1003,31,14,9,42,23,32,2.03,5,Rain,309
2016-10-18,26,18,11,7,3,0,72,35,11,1014,1012,1010,31,20,10,39,18,48,0.00,1,,316
2016-10-19,23,19,15,9,4,-6,59,38,7,1023,1017,1013,31,16,10,34,21,42,0.00,2,,200
2016-10-20,22,18,14,13,8,6,68,47,28,1024,1022,1020,31,13,10,40,23,58,0.00,4,Rain,60
2016-10-21,27,21,16,17,13,9,77,59,29,1022,1015,1010,26,13,9,45,21,55,0.00,3,Rain,9
2016-10-22,21,17,12,17,12,-1,100,75,20,1015,1010,1007,31,11,1,39,21,52,1.02,5,Rain-Thunderstorm,207
2016-10-23,17,13,10,9,5,1,82,52,30,1020,1017,1014,31,13,10,48,31,66,0.51,3,Rain,218
2016-10-24,18,14,9,10,6,2,72,52,25,1020,1018,1016,26,14,10,27,19,,0.00,3,,205
2016-10-25,25,18,11,14,9,3,77,53,20,1019,1016,1013,31,27,19,34,14,,0.00,,,339
2016-10-26,28,21,14,13,8,3,77,43,13,1016,1014,1012,31,27,10,32,11,,0.00,6,,360
2016-10-27,21,18,15,16,13,8,94,70,31,1021,1015,1011,26,11,5,35,19,52,0.51,5,Rain,168
2016-10-28,19,17,14,16,12,8,94,68,47,1021,1019,1018,26,12,6,24,16,,1.02,6,Rain,171
2016-10-29,25,21,16,18,16,13,95,76,40,1020,1018,1016,26,11,6,35,18,,0.00,5,Rain,45
2016-10-30,26,23,19,19,17,15,83,70,48,1017,1010,1004,31,13,9,39,23,,0.25,5,Rain-Thunderstorm,20
2016-10-31,22,19,15,15,3,-6,64,34,9,1015,1010,1003,31,25,10,42,26,52,0.25,1,,203